secs,x
0,4.7573
1e-05,2.66
2e-05,-0.66882
3e-05,3.3519
4e-05,0.29964
5e-05,3.7461
6e-05,1.481
7e-05,-2.0627
8e-05,0.46447
9e-05,2.3028
0.0001,2.994
0.00011,-2.8837
0.00012,4.8079
0.00013,-1.6722
0.00014,3.4856
0.00015,2.4136
0.00016,-5.1436
0.00017,0.43957
0.00018,0.83145
0.00019,0.09695
0.0002,0.81016
0.00021,-6.6455
0.00022,-0.64067
0.00023,-2.0001
0.00024,-0.59717
0.00025,1.7417
0.00026,4.6255
0.00027,-0.46162
0.00028,3.0902
0.00029,-0.94169
0.0003,2.2354
0.00031,3.1328
0.00032,-1.2167
0.00033,-7.2596
0.00034,-4.7432
0.00035,2.7495
0.00036,-0.59563
0.00037,-3.8691
0.00038,2.1453
0.00039,1.6888
0.0004,1.7536
0.00041,-4.8981
0.00042,4.015
0.00043,-5.0799
0.00044,-2.1274
0.00045,1.307
0.00046,1.1179
0.00047,-0.19524
0.00048,-3.6704
0.00049,2.1856
0.0005,2.4454
0.00051,-2.9669
0.00052,6.4523
0.00053,-0.43872
0.00054,3.2574
0.00055,-3.3631
0.00056,1.3224
0.00057,3.8225
0.00058,3.3569
0.00059,5.237
0.0006,8.1489
0.00061,4.3867
0.00062,-10.043
0.00063,-3.1404
0.00064,0.1384
0.00065,2.9465
0.00066,-0.92005
0.00067,-2.008
0.00068,-0.99387
0.00069,-5.4525
0.0007,0.25836
0.00071,-2.8698
0.00072,0.81357
0.00073,4.3774
0.00074,-0.2463
0.00075,-2.3318
0.00076,1.4892
0.00077,-1.8228
0.00078,5.2818
0.00079,5.3524
0.0008,0.95723
0.00081,1.2322
0.00082,-1.6565
0.00083,4.6938
0.00084,-0.56401
0.00085,-1.6524
0.00086,0.44374
0.00087,-1.0674
0.00088,4.0407
0.00089,-1.9852
0.0009,-0.29366
0.00091,-3.9612
0.00092,-0.64771
0.00093,0.85818
0.00094,-2.9212
0.00095,-3.2267
0.00096,-2.4468
0.00097,-0.78982
0.00098,2.2085
0.00099,-5.0223
0.001,4.1839
0.00101,-5.2408
0.00102,1.723
0.00103,-1.7917
0.00104,0.18196
0.00105,-0.44217
0.00106,2.5135
0.00107,4.1248
0.00108,-5.78
0.00109,-2.7956
0.0011,0.2634
0.00111,1.021
0.00112,1.1597
0.00113,-3.2624
0.00114,-2.1734
0.00115,-6.9164
0.00116,-0.38071
0.00117,-1.6504
0.00118,-2.0215
0.00119,1.5251
0.0012,-2.2856
0.00121,0.16044
0.00122,-5.519
0.00123,-6.2787
0.00124,1.7797
0.00125,-4.5267
0.00126,0.52801
0.00127,1.0282
0.00128,0.77944
0.00129,3.4949
0.0013,5.0981
0.00131,-1.3397
0.00132,4.164
0.00133,0.55437
0.00134,3.314
0.00135,-0.6054
0.00136,-0.59304
0.00137,-0.41419
0.00138,-0.048052
0.00139,-1.8491
0.0014,1.2115
0.00141,3.9949
0.00142,0.02063
